observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
7/28/2012,2012-07-28 17:03:25 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/28/2012,2012-07-28 18:07:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/30/2013,2013-08-30 19:41:38 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/30/2014,2014-08-30 20:35:00 UTC,FALSE,Grant,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/31/2014,2014-08-31 17:39:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/10/2015,2015-08-10 13:51:12 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
11/4/2015,2015-11-04 15:15:57 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/14/2015,2015-10-14 16:30:47 UTC,FALSE,Lewis,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/7/2016,2016-07-07 14:41:14 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/10/2016,2016-08-10 23:14:21 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/30/2016,2016-07-30 17:29:26 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/5/2016,2016-08-05 14:38:00 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/22/2016,2016-08-22 21:58:49 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/29/2016,2016-08-29 23:18:34 UTC,FALSE,Pendleton,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/1/2016,2016-09-01 21:39:19 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/9/2016,2016-09-09 19:24:21 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/22/2016,2016-09-22 23:20:25 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
